Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d/003b2330-2ec2-4dfe-be84-484672b314c0,3,0,510.0,713.9940049989187,242.81926899857353,1385.7203939987812,401.0,0.09742373922111208,0.0,510,510,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/d/0121a78a-f2db-48bc-ab57-0b0a4b8eee24,3,0,270.0,222.3787523331945,32.04268999979831,366.7301989989937,0.0,0.09742373922111208,0.0,270,270,370,370,370,370,370,370,370,370,370
GET,/d/0170a098-c9cb-4e18-b8d5-9d50f26a2ad9,2,0,150.0,153.5110260001602,148.8674539996282,158.1545980006922,176.0,0.06494915948074138,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/d/01ce6e6c-73c7-4eaf-832d-251ad31109ad,2,0,140.0,216.0774620006123,138.6169190009241,293.5380050003005,0.0,0.06494915948074138,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/d/0272e986-dfb3-445b-9dfc-4fa8d7b650fd,4,0,220.0,249.9354315000346,20.552681999106426,517.1829099999741,0.0,0.12989831896148277,0.0,240,240,520,520,520,520,520,520,520,520,520
GET,/d/02748740-c26e-4f4d-9ff9-40d76fc45843,2,0,3.041796999241342,3.2082984998851316,3.041796999241342,3.3748000005289214,480.0,0.06494915948074138,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d/02a55b34-d531-46f8-a851-7542375a1384,4,0,130.0,164.81728124972506,83.6715280001954,304.69340499985265,0.0,0.12989831896148277,0.0,140,140,300,300,300,300,300,300,300,300,300
GET,/d/02acdf85-04e3-46c5-95c1-dff1693d5f85,3,0,2,2.0052129996959898,1.5795999988768017,2.618978000100469,0.0,0.09742373922111208,0.0,2,2,3,3,3,3,3,3,3,3,3
GET,/d/03021dad-39e5-49fd-b454-34da632177d5,3,0,130.0,280.25491666691477,97.36447000068438,608.8405099999363,121.0,0.09742373922111208,0.0,130,130,610,610,610,610,610,610,610,610,610
GET,/d/0355f15c-42c1-47f6-8b44-1b04820a9862,2,0,27.103933998660068,87.54894149933534,27.103933998660068,147.99394900001062,182.0,0.06494915948074138,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/d/03a053b3-def2-4d90-b2da-30cd3c99f5e8,1,0,77.10994000080973,77.10994000080973,77.10994000080973,77.10994000080973,210.0,0.03247457974037069,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/d/03e322c0-c88c-41cb-a86c-8b3d9cd4fa5e,3,0,270.0,217.84826466682716,116.29760200048622,272.15023200005817,173.0,0.09742373922111208,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/d/046f33fb-0640-443d-a71d-7b432ccaad12,3,0,320.0,343.6063803334643,145.60404999974708,569.9822189999395,354.0,0.09742373922111208,0.0,320,320,570,570,570,570,570,570,570,570,570
GET,/d/04aa50fd-3056-4e0a-8b7d-b4f82d182230,3,0,160.0,121.05553933300446,4.055892999531352,196.8388440000126,246.0,0.09742373922111208,0.0,160,160,200,200,200,200,200,200,200,200,200
GET,/d/057c34e3-5a07-461e-bef6-2789a6cb354c,3,0,120.0,143.26343633304836,1.6488130004290724,303.36795699986396,173.0,0.09742373922111208,0.0,120,120,300,300,300,300,300,300,300,300,300
GET,/d/05ca890e-1ed5-4135-b9bf-825baaba02a3,3,0,470.0,318.590887333509,2.168781000364106,482.63389699968684,0.0,0.09742373922111208,0.0,470,470,480,480,480,480,480,480,480,480,480
GET,/d/05f1fc50-6306-4bec-8f36-b3f66f8cf217,4,0,83,114.76699524928335,2.234361998489476,265.2484459995321,215.0,0.12989831896148277,0.0,110,110,270,270,270,270,270,270,270,270,270
